ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,title,share
2,"$10-20k",2016,"2016","true","true",19462,3424.833191785439,135,,,,"Barbers",0.29976126299576433
7,"$60-70k",2016,"2016","true","true",866,722.4909496828901,5,,,,"Barbers",0.01333846746245668
2,"$10-20k",2015,"2015","true","true",18198,3311.7613364716008,153,,,,"Barbers",0.3197624360844125
4,"$30-40k",2015,"2015","true","true",8381,2247.553239504311,67,,,,"Barbers",0.1472650278505034
6,"$50-60k",2015,"2015","true","true",1211,854.3680449030101,8,,,,"Barbers",0.02127883888879127
5,"$40-50k",2015,"2015","true","true",4258,1602.031826168496,42,,,,"Barbers",0.07481857637363602
1,"< $10K",2015,"2015","true","true",8394,2249.2955829956395,68,,,,"Barbers",0.14749345469241448
3,"$20-30k",2015,"2015","true","true",15909,3096.5073031319503,120,,,,"Barbers",0.27954174061253534
7,"$60-70k",2015,"2015","true","true",560,580.9890191487207,8,,,,"Barbers",0.009839925497706946
7,"$60-70k",2014,"2014","true","true",1289,881.4531411738857,10,,,,"Barbers",0.018067391791881587
2,"$10-20k",2014,"2014","true","true",19258,3406.83149481632,144,,,,"Barbers",0.26993159901323166
6,"$50-60k",2014,"2014","true","true",2805,1300.2799512559193,16,,,,"Barbers",0.03931655079614263
3,"$20-30k",2014,"2014","true","true",18474,3336.7736013450667,118,,,,"Barbers",0.25894258802422065
5,"$40-50k",2014,"2014","true","true",4091,1570.3020234087705,30,,,,"Barbers",0.057341892801076474
4,"$30-40k",2014,"2014","true","true",10654,2534.0470639207533,75,,,,"Barbers",0.14933281004709575
1,"< $10K",2014,"2014","true","true",14773,2983.9141749612895,116,,,,"Barbers",0.2070671675263512
